No,name,addr,x,y,state,number,amount,zero
127,만촌3동행정복지센터,대구광역시 수성구 교학로2길 45,128.6505651,35.85550223,정좌표,51,787 ,787
128,중동행정복지센터,대구광역시 수성구 수성로50길 38,128.6150885,35.8473452,정좌표,56,831 ,831
129,상동행정복지센터,대구광역시 수성구 들안로9길 56,128.6154609,35.83212667,정좌표,25,1110 ,1110
130,지산1동행정복지센터,대구광역시 수성구 지범로21길 16,128.6370066,35.82491392,정좌표,70,1540 ,1540
131,고산2동행정복지센터,대구광역시 수성구 달구벌대로 3091,128.695185,35.84347596,정좌표,0,0 ,1454
132,고산3동행정복지센터,대구광역시 수성구 고산로 152,128.7065707,35.84393916,정좌표,25,765 ,765
133,신매공원노상주자창,대구광역시 수성구 신매동 590-1(도로변),128.7094206,35.83284488,정좌표,0,0 ,1454
134,범어1동행정복지센터,대구광역시 수성구 범어천로 97,128.6220458,35.85552855,정좌표,0,0 ,1454
135,지산2동행정복지센터,대구광역시 수성구 용학로33길 9,128.6280129,35.82312125,정좌표,0,0 ,1454
136,범물1동행정복지센터,대구광역시 수성구 범안로 76,128.6459743,35.81775147,정좌표,0,0 ,1454
137,수성소방서,대구 수성구 달구벌대로 3091,128.695185,35.84347596,정좌표,0,0 ,1454
138,달서구청,대구광역시 달서구 학산로 45,128.5322939,35.82952502,정좌표,247,4667 ,4667
139,대구도시철도공사,대구광역시 달서구 월배로 250,128.5404334,35.81910359,정좌표,168,3778 ,3778
140,두류공원(성당휴게소),대구광역시 달서구 공원순환로 216,128.5615941,35.84454462,정좌표,302,3897 ,3897
141,서부법원 앞(롯데캐슬입구),대구광역시 달서구 용산동 230-5,128.5285975,35.85183165,정좌표,193,3974 ,3974
142,성서체육공원주차장,대구광역시 달서구 성서공단로22길 25,128.4955466,35.83242591,정좌표,100,2431 ,2431
143,성서홈플러스,대구광역시 달서구 달구벌대로 1467,128.5274057,35.84945335,정좌표,42,816 ,816
144,시설안전관리사업소,대구광역시 달서구 성서공단로 58,128.4887377,35.83466285,정좌표,173,3431 ,3431
145,월광수변공원주차장,대구광역시 달서구 도원동 928,128.5489498,35.79890606,정좌표,144,2722 ,2722
146,대구환경공단(본부),대구광역시 달서구 대천동 770,128.4959611,35.823318,정좌표,153,1641 ,1641
147,용산2동 행정복지센터,대구광역시 달서구 선원로 278,128.5229904,35.85843009,정좌표,156,3930 ,3930
148,차량등록사업소 서부분소,대구광역시 달서구 성서로 400,128.5078593,35.85330182,정좌표,252,4674 ,4674
149,성당두산위브,대구광역시 달서구 당산로 82,128.5466934,35.84502695,정좌표,0,0 ,1454
150,본리동 행정복지센터,대구광역시 달서구 당산로 37-14,128.5431652,35.84101301,정좌표,0,0 ,1454
151,대구은행 본리동지점,대구광역시 달서구 구마로 180,128.5474142,35.83690545,정좌표,103,2429 ,2429
152,송현2동 행정복지센터,대구광역시 달서구 월배로83길 120-14,128.5455818,35.83278771,정좌표,0,0 ,1454
153,수목원삼성래미안,대구광역시 달서구 상화로8길 23,128.5176797,35.806398,정좌표,0,0 ,1454
154,진천동 행정복지센터,대구광역시 달서구 진천동 626-31,128.5227378,35.8120305,정좌표,182,3699 ,3699
155,대구은행(월배지점),대구광역시 달서구 월배로 109,128.5262531,35.81478641,정좌표,0,0 ,1454
